,Open,High,Low,pred
0,140.4650,140.5100,140.3000,140.54157705787844
0,140.5500,140.5680,140.4550,140.66365166831469
0,140.6001,140.6100,140.4800,140.6867273264369
0,140.7100,140.7100,140.5750,140.77670463097468
0,140.7000,140.7700,140.6800,140.91624829653404
0,140.6800,140.7266,140.6600,140.87806605309106
0,140.6765,140.7100,140.6450,140.854872512219
0,140.7613,140.7700,140.6300,140.8378675523698
0,140.8250,140.8300,140.7470,140.9428827842638
0,140.8750,140.8800,140.8150,141.00783094309068
0,140.8150,140.8900,140.7900,141.03109309973587
0,140.8650,140.9235,140.8002,141.0353771883254
0,140.9700,140.9850,140.8941,141.0975142956412
0,141.1300,141.1300,140.9850,141.18880245489422
0,141.1200,141.2199,141.0950,141.3556958100924
0,141.0801,141.1400,141.0483,141.27907981014408
0,140.6900,141.1000,140.6900,141.18672377837078
0,140.6700,140.7300,140.6600,140.88673840275607
0,140.6250,140.7196,140.5900,140.8478573187251
0,140.5300,140.6100,140.5300,140.77041719547026
0,140.4350,140.5600,140.4200,140.69784376573546
0,140.4500,140.5100,140.4200,140.64998157367822
0,140.4400,140.5150,140.4100,140.65161635226514
0,140.5400,140.5400,140.4100,140.6106916615401
0,140.5750,140.5850,140.5301,140.72394478350935
0,140.5950,140.6300,140.5250,140.74258730125615
0,140.6100,140.6601,140.5850,140.80658024569226
0,140.5951,140.6300,140.5550,140.76736568807587
0,140.5892,140.6300,140.5700,140.78334457386882
0,140.5300,140.5900,140.4900,140.72177388613386
0,140.5300,140.6300,140.4330,140.70563036025914
0,140.6200,140.6200,140.5100,140.7073226917798
0,140.5200,140.6450,140.5050,140.78292014360142
0,140.5450,140.5685,140.4800,140.68775527349646
0,140.4800,140.5600,140.4750,140.71623248101645
0,140.3700,140.4500,140.3300,140.57715513499076
0,140.3600,140.4100,140.3000,140.52729947573368
0,140.4285,140.4900,140.3600,140.59775027650318
0,140.3250,140.4750,140.3200,140.6154307700829
0,140.4850,140.4850,140.3184,140.52533900487134
0,140.2600,140.4873,140.2300,140.58967763026374
0,140.3339,140.3450,140.1700,140.38495510210453
0,140.5350,140.5350,140.2500,140.4773537935065
0,140.6500,140.6800,140.5100,140.7357984593259
0,140.6900,140.7000,140.5861,140.7901986399604
0,140.8650,140.8800,140.6300,140.8606919465308
0,140.8900,140.9900,140.8500,141.1131474067755
0,140.8800,140.9350,140.8600,141.0847662736791
0,140.9050,141.0000,140.8700,141.1284194167804
0,141.0331,141.0500,140.8970,141.11230284475545
0,141.0700,141.1200,141.0100,141.2379374555554
0,141.0500,141.1900,141.0100,141.30434121479126
0,140.9400,141.1450,140.9200,141.26125782964857
0,140.9450,140.9750,140.8800,141.09316032990932
0,140.8737,140.9800,140.8100,141.08210055411865
0,140.8550,140.9831,140.8350,141.1164877538908
0,140.9000,140.9700,140.8300,141.0750301461863
0,140.8700,140.9700,140.8400,141.10140900810762
0,140.8750,141.0000,140.8110,141.09766922779824
0,140.7800,140.8700,140.7300,140.98700648275778
0,140.8800,140.9400,140.7750,141.01827116136346
0,140.8500,140.9900,140.8400,141.1290002199496
0,140.7950,140.8600,140.6150,140.87497924377658
0,140.8170,140.8600,140.7000,140.9320827986587
0,140.5875,140.9100,140.4765,140.9243064619094
0,140.5250,140.7000,140.4900,140.8101780386216
0,140.5000,140.6800,140.4000,140.73521960741715
0,140.7800,140.8100,140.4188,140.6827711267378
0,140.4300,140.7900,140.4300,140.8876776045633
0,140.1400,140.6100,139.9700,140.54205189141246
0,140.1400,140.3200,139.8005,140.17660036104743
0,141.1500,141.1500,141.0300,141.22951935764354
0,141.2200,141.2500,141.1290,141.3468805460236
0,141.2600,141.2700,141.1600,141.363939854256
0,141.2200,141.2800,141.2200,141.44551218507178
0,141.2050,141.2500,141.1800,141.39815601091988
0,141.1000,141.2100,141.0600,141.3310986145114
0,141.0200,141.1000,141.0200,141.26085749140353
0,141.0500,141.0900,141.0200,141.23499569259815
0,141.0400,141.0800,140.9800,141.20014798918274
0,141.0696,141.0750,141.0300,141.21980663194796
0,141.1000,141.1090,141.0114,141.2124585459654
0,141.1100,141.1800,141.0700,141.31005756222754
0,141.1000,141.1300,141.1000,141.3021168290599
0,140.9700,141.1300,140.9700,141.27291263907733
0,141.0150,141.0600,140.9500,141.17486699354654
0,141.1100,141.1100,141.0000,141.1977629877131
0,141.0500,141.1300,141.0200,141.26604573051327
0,141.0800,141.1000,141.0444,141.2448610698814
0,141.0744,141.1050,141.0450,141.25261763298408
0,141.0400,141.0965,141.0050,141.2336550613095
0,141.0700,141.0900,141.0150,141.21878971341638
0,141.0100,141.0900,141.0050,141.2467087194749
0,141.1000,141.1000,141.0100,141.20431314727122
0,141.0650,141.1200,141.0400,141.26579272156062
0,141.1100,141.1134,141.0400,141.2335205313147
0,141.1300,141.1300,141.0600,141.25089924935452
0,141.0100,141.1320,140.9800,141.25861232779903
0,141.0250,141.0700,140.9800,141.20143512436724
0,141.0600,141.0700,140.9700,141.17203971422484
0,141.0600,141.1100,141.0400,141.26104676030292
0,141.0482,141.0700,141.0100,141.21227705840545
0,141.0600,141.0900,141.0200,141.22896259615595
0,141.0300,141.1400,140.9900,141.26103571509233
0,140.9200,141.0400,140.9200,141.19181767300574
0,140.9100,140.9350,140.8700,141.0749465569472
0,140.9000,140.9900,140.8700,141.1236734555227
0,140.7800,140.9100,140.7700,141.05117481105174
0,140.7500,140.8200,140.7400,140.97457279728516
0,140.5900,140.7500,140.5750,140.8801518261962
0,140.5100,140.6000,140.4901,140.741685384223
0,140.5958,140.6417,140.5000,140.73048785814422
0,140.5900,140.6400,140.5552,140.77837066819205
0,140.5000,140.6250,140.4400,140.7256440956627
0,140.5300,140.6300,140.4801,140.7446271471802
0,140.5500,140.5600,140.5000,140.6946997374078
0,140.5900,140.6200,140.4900,140.70886283591702
0,140.6150,140.6550,140.5700,140.78718545874491
0,140.6100,140.6200,140.6000,140.7878719415744
0,140.7503,140.8500,140.6500,140.9231631794759
0,140.7250,140.7600,140.6800,140.89340304594973
0,140.6261,140.7470,140.6261,140.8983522111552
0,140.6000,140.6800,140.5900,140.8322005222946
0,140.5150,140.6700,140.4958,140.79772575873238
0,140.5330,140.5500,140.4650,140.6682149877993
0,140.4250,140.5425,140.4050,140.6778731116977
0,140.4800,140.5700,140.3550,140.62464011935873
0,140.2650,140.4800,140.2600,140.60583316790724
0,140.1800,140.2900,140.1100,140.38543321864847
0,140.1200,140.2400,140.1200,140.39109882250244
0,140.0000,140.2000,140.0000,140.3330910707572
0,140.3000,140.3400,139.9500,140.21937544722067
0,140.4293,140.4300,140.2496,140.4592860904695
0,140.2250,140.4300,140.2200,140.55803471590332
0,140.2750,140.2800,140.1500,140.35347458334763
0,140.2100,140.3597,140.1300,140.4379977655784
0,140.0400,140.2726,139.9300,140.30735749564144
0,140.0300,140.1000,139.8400,140.10489352512747
0,139.7500,140.0850,139.7400,140.1793807353438
0,139.5400,139.8650,139.4100,139.8620746564714
0,139.5901,139.6200,139.3663,139.60548562882693
0,139.8851,139.9050,139.5800,139.8256752702763
0,139.8300,139.9700,139.7500,140.0501266773949
0,139.9174,139.9601,139.6600,139.91519637675373
0,140.2300,140.2400,139.8600,140.1094658741759
0,140.2100,140.3900,140.2000,140.51947517746203
0,140.8200,140.8200,140.1800,140.46868505688622
0,140.7900,140.8900,140.6500,140.9302618245155
0,141.3900,141.5100,140.6100,141.01643333528932
0,141.6000,141.6500,141.3000,141.56970395174088
0,141.5900,141.6750,141.5750,141.82283156823445
0,141.5400,141.5900,141.5050,141.72905871171287
0,141.5200,141.5800,141.4800,141.71266346363169
0,141.4600,141.5250,141.4400,141.67304994977275
0,141.4600,141.5050,141.4201,141.6410485813517
0,141.5500,141.5600,141.4300,141.63764129237398
0,141.4900,141.5900,141.4600,141.72196611724766
0,141.5800,141.5800,141.4900,141.6847444575732
0,141.5600,141.5900,141.5050,141.71699251882845
0,141.5745,141.6100,141.5450,141.75688783832365
0,141.5700,141.5800,141.5100,141.7073366992048
0,141.5450,141.5800,141.5200,141.73069901290503
0,141.5200,141.5500,141.5000,141.70593508038476
0,141.5000,141.5232,141.4000,141.61440202191895
0,141.4800,141.5100,141.4600,141.66589913785958
0,141.4650,141.5000,141.4500,141.6589067004494
0,141.4150,141.4900,141.4150,141.65233116910014
0,141.4300,141.4600,141.4100,141.61585420970312
0,141.4800,141.4900,141.4200,141.61725582852318
0,141.4650,141.5100,141.4600,141.6749487825229
0,141.4900,141.4950,141.4500,141.6399427046045
0,141.4500,141.4900,141.4400,141.6519142630392
0,141.5000,141.5000,141.4400,141.629511290307
0,141.4313,141.5000,141.4200,141.65439951767547
0,141.3499,141.4000,141.3200,141.5430881019801
0,141.3700,141.4000,141.3300,141.53924115072599
0,141.4400,141.4525,141.3600,141.56260136817832
0,141.4800,141.4800,141.4000,141.59293417385499
0,141.4300,141.5000,141.4200,141.65518382021298
0,141.3800,141.4700,141.3750,141.62480369731145
0,141.2400,141.3900,141.2400,141.53539274164342
0,141.2700,141.3300,141.2200,141.45415925025472
0,141.1747,141.2700,141.1747,141.42757313862217
0,141.1600,141.2400,141.1600,141.4009832902416
0,141.1700,141.1962,141.1200,141.32783211190352
0,141.1440,141.2000,141.1250,141.3506077025525
0,141.1699,141.1800,141.0900,141.29047845972818
0,141.1100,141.1800,141.0928,141.32893498774348
0,141.0550,141.1200,141.0150,141.25112688651603
0,141.1109,141.1150,141.0300,141.22593998155685
0,141.2100,141.2400,141.0750,141.3004414409756
0,141.2300,141.2750,141.2000,141.4190386887008
0,141.2036,141.2600,141.1862,141.41189648890932
0,141.2300,141.2450,141.1200,141.3295145795068
0,141.1800,141.2500,141.1300,141.37184088905184
0,141.1300,141.1800,141.1050,141.32696987342462
0,141.1650,141.1800,141.0900,141.29343467698487
0,141.0241,141.1800,141.0200,141.32048399769252
0,141.0090,141.0500,140.9750,141.19142327341984
0,141.0800,141.1100,141.0000,141.21586227703972
0,141.1900,141.2300,141.0700,141.30060533808384
0,141.1000,141.2000,141.0600,141.32333610503258
0,140.8900,141.1100,140.8700,141.2228566657103
0,140.8000,140.9200,140.7850,141.05929048653815
0,140.6400,140.7900,140.6400,140.93485360376593
0,140.5911,140.7319,140.5700,140.8612982571336
